frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
11,0.37529242,-0.36176252,-0.15347035,0.07898052,-0.09484145,-0.2485705,0.02314433,0.28863590000000006,-0.12447192,-0.023488102,0.25193617,0.10296688,-0.30403638,0.0066467626,0.052615702,-0.19845906,-0.38049520000000003,-0.035920132,-0.23474462,0.4272833,-0.37579250000000003,-0.011547755,0.49266824,-0.31494403,-0.059994727000000005,0.68724614,-0.13825116,-0.109645836,0.6788622,0.14397544,-0.037002504,0.4551918,0.27313325,-0.24891075,0.37468293,0.218586,-0.117923245,0.7421608000000001,-0.0009918064,-0.18181057,0.94757307,-0.016907196,-0.2878585,0.8349752,-0.0034833765000000004,-0.25977707,0.88131475,0.02529322,-0.26133555,0.8767751,-0.040636368,-0.16554345,0.8825446,0.05962654,-0.16705163,0.87317914,-0.08623436,-0.00017188582569360733,0.2702860236167908,-0.010752517729997637
12,0.35725707,-0.31295559999999994,0.054184884,0.16035967,-0.09281566,-0.22622895,0.08766645,0.28384236,-0.08268602,-0.08605639999999999,0.25343475,0.066126905,-0.35300583,0.040959824,-0.060544834000000006,-0.186908,-0.30041257,0.09528461,-0.20947078,0.3906332,-0.43189704,-0.024810001,0.48480165,-0.29328555,-0.03347356,0.6929436,-0.13653083,-0.20647039999999997,0.65923774,0.08124378,-0.32024848,0.4228321,0.09347372,-0.43351334,0.42852724,-0.121917814,-0.13476707,0.7352178,-0.026827122999999998,-0.21158928,0.9350598,-0.007793682,-0.29326805,0.8178405,-0.06363393,-0.2843144,0.85469824,-0.015599213999999998,-0.2641259,0.8706046000000001,-0.07643534,-0.2076064,0.8536054,0.048121557,-0.1599313,0.8876127,-0.08535734,0.0008050277829170227,0.268638551235199,-0.008279558271169662
13,0.37809595,-0.30417305,0.10907677,0.19566643,-0.0957917,-0.19237594,0.09629264,0.28276932,-0.07004995,-0.10088727,0.24834476,0.049482077,-0.3031098,-0.02545648,-0.1157038,-0.19292048,-0.37848586,0.07474244,-0.03612777,0.34988216,-0.50664204,0.05588109,0.47378823,-0.30709240000000004,0.0017190352,0.6728818,-0.1385944,-0.21754475,0.66761845,0.040803917,-0.43244755,0.5139511999999999,0.08699275599999999,-0.6405233,0.45694536,-0.039917227,-0.11750691,0.7284843000000001,-0.05263391,-0.15002349999999998,0.9371389000000001,-0.045208357000000005,-0.25370103,0.8463856,-0.11318510000000001,-0.2411893,0.8799516,-0.06352512,-0.21061337,0.88924843,-0.12113759,-0.17589873,0.85788316,0.00875441,-0.10549818,0.8773818000000001,-0.11692838,-0.002297315746545792,0.26555705070495605,-0.0102839358150959
14,0.37693313,-0.3060142,0.10772475,0.1950136,-0.09580905,-0.19271214,0.09631505,0.2827018,-0.070032865,-0.100805685,0.24848609,0.049599312,-0.3034867,-0.024535922,-0.1159749,-0.1943917,-0.3788327,0.072602004,-0.03466509,0.3514237,-0.50877064,0.056097798,0.4741913,-0.30799484,0.0019303979,0.6728515,-0.13910608,-0.217061,0.6678516999999999,0.04063771,-0.43182635,0.51455784,0.088232376,-0.6418457,0.45821452,-0.035684735,-0.117173515,0.7285647,-0.053065345,-0.14971958,0.9371997,-0.045428704,-0.25336236,0.8465415000000001,-0.11356878,-0.24086439999999998,0.88002306,-0.06385708,-0.21027885,0.8894219000000001,-0.12144952,-0.17557845,0.85786325,0.008413117,-0.10515393,0.8775709,-0.11724715,-0.0022453181445598602,0.26559394598007197,-0.01021677628159523
15,0.37090409999999996,-0.3637458,0.11671158,0.20177795,-0.10232978,-0.15270032,0.10046433,0.28163058,-0.0618305,-0.10996494400000001,0.25142735,0.031124655,-0.24549401,-0.09096216,-0.09625099599999999,-0.16355264,-0.42377250000000005,0.14211167,0.051722053,0.40551913,-0.500115,0.12478874599999999,0.5042239000000001,-0.28261068,0.034908272000000004,0.6921020999999999,-0.12146475,-0.20561558,0.6951864000000001,0.019889344,-0.4525081,0.60149604,0.012632913999999999,-0.5922335999999999,0.64016366,-0.18771741,-0.09440991,0.7456482,-0.053305842,-0.13664977,0.9499101000000001,-0.038598165,-0.23349878,0.85632163,-0.11417424,-0.22370067,0.8881431999999999,-0.06262851,-0.19274946,0.9024152,-0.11893761,-0.15847589,0.8663992,0.009744257,-0.08651297,0.8967306,-0.11323012,-0.004750307649374008,0.2665289640426636,-0.015352921560406685
16,0.16428201,-0.4926679,0.21254107,0.13936502,-0.10968408,0.11262895,0.025247928,0.26270095,0.092023134,-0.02158134,0.24281539,-0.12604877,-0.018837338000000002,-0.14843789,-0.114086874,-0.15609589999999998,-0.52532023,-0.15437223,0.28174677,0.6474375,0.042994946,0.12226616,0.615827,0.20264815,0.028950654,0.7317111,0.036742106000000004,0.009878336,0.7058380999999999,-0.17187351,0.16606727,0.55228806,-0.24540979,0.30852267,0.67251414,-0.11359357,0.021673342,0.7504755,-0.07129447,0.018270396,0.9304834999999999,-0.07847105,0.14067124,0.86487883,-0.14711468,0.08856049,0.8930689,-0.1558809,0.12182139,0.89723206,-0.09973054,-0.0034839008,0.85673964,-0.14193791,0.06819582,0.86506605,-0.018297069,0.0018332935869693763,0.2527581751346588,-0.017012819647788998
17,-0.13033039999999999,-0.5792636999999999,0.06343459,-0.0424095,-0.16504455,0.10436334,-0.07371023,0.24592745,0.07518451,0.07516339,0.24880834,-0.10108215,0.13900857,-0.15313208,-0.09179258,0.16288376,-0.56341094,-0.21470895,0.21352752,0.6315644,0.24409,0.029264929,0.5069789000000001,0.34170818,-0.030174945,0.6632224,0.14332701,0.113314606,0.6820142,-0.07332872,0.3181355,0.5389809,-0.15528286,0.33336782,0.59493035,0.07482158,0.04541608,0.716498,0.04110633,0.085309945,0.90732783,0.07638008,0.18288487,0.8003216,0.12103392,0.17310506,0.845461,0.08165263,0.14059137,0.8406872,0.13800496,0.11151095,0.84361374,0.0038708001000000002,0.040739357000000004,0.8346915000000001,0.12651262,0.0007265768945217133,0.24736788868904114,-0.012948822230100632
18,0.16055731,-0.48776567,0.057925887,0.28548908,-0.06895967,-0.031234045,0.050997152999999996,0.28691688,0.08827398,-0.06709524,0.27360946,-0.13066146,0.009546719,-0.15494625,-0.08462001,-0.029063098,-0.5932814999999999,0.027610707999999998,0.3410769,0.5822295999999999,-0.010879666999999999,0.20807824,0.5353060000000001,0.21081361,0.018312525,0.7360300000000001,0.13473168,-0.08776028,0.7429376999999999,-0.15270124,0.04635505400000001,0.54049003,-0.29860625,0.21315612,0.618325,-0.116591275,-0.033378705,0.80021876,-0.007592419,0.052804183,1.0086279,-0.016989771,0.13138829999999999,0.87639165,-0.041746292000000004,0.10614404,0.92831796,-0.06790317,0.11736711,0.9239224,-0.0018024985,0.0047789207,0.9463138000000001,-0.09127214,0.031823985,0.9382904000000001,0.05853171,-0.008049044758081436,0.28026318550109863,-0.021193739026784897
19,0.15982328,-0.4882937,0.056740873,0.28547528,-0.06930356,-0.031801276,0.05120042,0.28668588,0.08823311,-0.06728560000000001,0.273767,-0.13060048,0.0098189665,-0.15501219,-0.085101575,-0.029204737,-0.59372675,0.026642485,0.34010518,0.5809561,-0.012275897,0.20813236,0.5323591999999999,0.20965153,0.0198508,0.7352598000000001,0.13530864,-0.08766979,0.74324,-0.15167116,0.044482216,0.5399484,-0.29827443,0.21110184,0.61742216,-0.11587326,-0.032359276,0.8001415,-0.006708266,0.05403007,1.0084889000000001,-0.016561516000000002,0.13236278,0.8761618,-0.041654814,0.10702474,0.9281028,-0.06771359,0.11859968,0.9237357,-0.0016640964999999998,0.0055558356000000005,0.9461799000000001,-0.090545155,0.033395298,0.9382206,0.059105745999999994,-0.008042588829994202,0.2802264392375946,-0.021183684468269348
20,-0.14809452,0.017449144,-0.0573169,-0.1597044,0.11499268,0.35226113,-0.14074817,0.2788442,-0.056863545999999994,0.13764311,0.2606959,-0.04367576,0.10720476,0.07749323,0.35139102,0.072401315,-0.06960126,-0.05208467,-0.20166326,0.539215,0.07449194,-0.36496022,0.54930425,-0.13570346,-0.13755915,0.7310165,-0.06048244,0.18964164,0.6990257,-0.02904484,0.36319596,0.44981027,-0.04027542,0.27431452,0.5573345000000001,0.1815881,0.019705232,0.7741701999999999,-0.018838793,-0.046125937,0.97898054,0.028450347,-0.103385225,0.85259247,0.10916212,-0.06994887400000001,0.906573,0.11265327,-0.11174911,0.8932996999999999,0.060578704000000004,0.033115346000000004,0.92286265,0.08267081,-0.06263612,0.8969086,-0.035478566,-0.0015525296330451965,0.2697700560092926,-0.05026965588331223
21,-0.46789718,0.13368501,0.100189134,-0.21791407,0.46626914,0.13358328,-0.10605629,0.27012909999999996,-0.087474346,0.13247868,0.17402179999999998,-0.010391975999999999,0.119236544,0.20911983,0.33773962,-0.15504771,0.05914213,0.09355982,-0.31254499999999996,0.50604767,0.11626653,-0.37814027,0.5989479999999999,-0.10508717599999999,-0.1134076,0.6296263000000001,-0.037093576,0.17351304,0.61129546,0.0026024439999999998,0.3240636,0.3754947,0.011651268000000001,0.19867414,0.43773959999999995,0.20859295,0.017624594,0.66670644,0.0026618494,-0.011586036999999999,0.8633268,0.044978708,-0.06564295,0.7546799,0.14115562,-0.024787761000000002,0.79814774,0.13596445,-0.08181226,0.7961210999999999,0.101708055,0.056542456,0.7954303,0.07465197,-0.065644205,0.79241014,-0.00021420605,0.013211198151111605,0.2220754623413086,-0.04893315955996514
22,-0.71795976,0.24892275,-0.08810313,-0.35827094,0.39629440000000005,0.10975124,-0.0447315,0.30563873,-0.072217554,0.08567448,0.089195244,0.006123521,-0.1540403,0.13040505,0.3276103,-0.54340696,0.13041039,0.14976671,-0.21216662,0.33446687,0.24592867,-0.18283212,0.5496036999999999,0.12846805,0.08689867,0.5632095,0.056727488,0.3446554,0.4589879,0.043809466,0.45064175,0.21229386,-0.026919484,0.30311754,0.25709176,0.15231852,0.21818799,0.54937553,0.06952939,0.22049278,0.7284143,0.12861848,0.17753594,0.61600894,0.22407812,0.21997237,0.6553831,0.21571366,0.15820447,0.6624505,0.19489032,0.28312415,0.65275264,0.13948211,0.15298378,0.6700482,0.09562299,0.020471489056944847,0.1974169909954071,-0.033047016710042953
23,-0.66987664,0.24304360000000003,0.003500021,-0.29672065,0.39944443,0.19341384,-0.108843654,0.29269984,-0.06420455,0.13546087,0.18298057,-0.035131313,0.19920051,0.01235796,0.29896805,0.016632682,-0.27382225,0.024394722999999997,-0.57870775,0.6012589,0.04836793,-0.35186565,0.62651265,-0.09101862,-0.06396079,0.64826393,-0.04050241,0.23885825,0.5940042,-0.037545525,0.32358109999999995,0.31314024,-0.040066447000000005,0.13625395,0.31732368,0.13630097,0.07735648,0.672693,-0.016006354,-0.012346338,0.85218704,0.055626724,-0.054812982999999996,0.7047606,0.08969362,-0.035452217,0.75585884,0.11405985,-0.06745001,0.7533965,0.05539511,0.061901927,0.7946433,0.10178864,-0.010756575,0.7920169,-0.024543375,0.013308607041835785,0.2378402054309845,-0.04966793209314346
24,-0.6452193,0.3462995,0.30657735,-0.21144098,0.4074197,0.25083828,-0.10743308,0.3002891,-0.033784486,0.123703256,0.19731991,-0.054607502999999995,0.19518733,-0.16489051,0.10046567,-0.08665337,-0.29645166,-0.21246865,-0.58588684,0.6958055000000001,0.11080144,-0.35334715,0.6812593000000001,-0.01741701,-0.06463528,0.67989445,-0.0072767959999999994,0.22545831,0.6399069000000001,-0.012675075,0.343086,0.39028454,-0.07320185,0.24466363,0.3934366,0.15962036,0.066963896,0.70459676,0.015381583999999998,-0.018616758,0.88711804,0.061987653,-0.08741834,0.74718946,0.06561765,-0.074042,0.79654783,0.09928964,-0.076936826,0.79911363,0.032756983999999996,0.023520917000000002,0.8202748,0.13181305,0.009754482,0.8286360999999999,-0.012513436000000001,0.008135087788105011,0.24880450963974,-0.0441959947347641
25,-0.51803297,0.19895739999999998,0.51740265,-0.20905426,0.35686094,0.27304268,-0.107832685,0.30789536,-0.01796165,0.118838586,0.21937206,-0.05132882,0.099570036,-0.17422973,-0.09336343400000001,-0.05069139,-0.45318270000000005,-0.41065004,-0.5364603,0.7991107,0.15302399,-0.34504503,0.7236786999999999,-0.0014909683,-0.062491875,0.7123451,0.018116329,0.22192873,0.6921271999999999,0.010015323000000001,0.44626993,0.5325266,0.026897265,0.36862653,0.6127093000000001,0.24562508,0.06633961,0.7420535,0.040167667000000004,-0.01408065,0.9280906999999999,0.08525723,-0.08467010400000001,0.78958505,0.105541624,-0.06601526,0.8419098,0.13381852,-0.07450802599999999,0.83891994,0.067741744,0.034185400000000005,0.86615914,0.15807754,0.0088063255,0.8635289,0.013211563,0.0055029504001140594,0.2636337280273437,-0.03464523330330849
26,-0.33478162,0.13883979999999999,0.42681637,-0.1802596,0.42425329999999994,0.20102093,-0.102301806,0.30190778,-0.05612522,0.11378036,0.20673938,-0.00046228518,0.017298993000000002,-0.17274335,-0.044863172,-0.043190412000000004,-0.48417372,-0.33132964,-0.42822003,0.7804385,-0.04911798,-0.24500673,0.71430695,-0.18799584,-0.020169236,0.7096305,-0.03713262,0.22840619,0.6475711,0.08552746,0.26942635,0.42796105,0.22730371,0.10892171,0.54817903,0.34545085,0.091537856,0.7259325,0.034981504,0.010529543,0.9178994,0.038780358,-0.06465909,0.78611684,0.07334391,-0.047234118,0.84085613,0.09521061,-0.05192828,0.8275273999999999,0.030495726,0.049958095,0.8677485999999999,0.12077939999999998,0.035819635,0.8431843000000001,-0.019936904,0.005739275366067886,0.2543235719203949,-0.02829375304281712
27,-0.19109210000000001,-0.31115782,0.13610698,-0.21830439999999998,0.0809536,0.24722756,-0.11491818,0.3035892,-0.054278016,0.11598647,0.24546093,0.010514243500000001,0.006561696999999999,-0.1558631,0.004927242,-0.0036332568,-0.5038252999999999,-0.24692003,-0.40535440000000006,0.8311199,-0.11553591,-0.21660316,0.7586514,-0.24824485,-0.04997717,0.7501664000000001,-0.024498457,0.2008988,0.68022835,0.12146438,0.30845672,0.42148936,0.11669455,0.093495905,0.406904,0.21419504,0.058299758,0.7710971999999999,0.07272715,-0.026826132000000003,0.97784966,0.08406504,-0.10281186,0.8470332,0.12436676,-0.08096721,0.9018921999999998,0.14438742,-0.09156188,0.88898754,0.07992699,0.020372424,0.9257129999999999,0.16444018,-0.0057104975,0.9015646999999999,0.021602444,0.0005341432988643646,0.2745250463485718,-0.02188188582658768
28,-0.13002149999999998,-0.33495712,-0.45935404,-0.18878368,-0.09765957,-0.12074271,-0.09176883,0.30878544,-0.08838512,0.08117878,0.24236709,0.07547066,-0.11285043,-0.11339791,0.052898365999999995,-0.1710668,-0.5051459,-0.090906024,-0.19318469,0.6299022,-0.15125802,-0.02947715,0.57557154,-0.3110594,-0.020537369,0.73484594,-0.0839553,0.16478571,0.70507634,0.14316647,0.23536143,0.43861774,0.204762,0.0087854415,0.48215044,0.24615498,0.049765993,0.787,0.04051377,-0.03938992,1.0042791,0.01966901,-0.11526412,0.8758541999999999,0.07386018,-0.09383193,0.9324525,0.088590905,-0.10720563,0.91391736,0.025759018999999998,0.0070050247,0.95961416,0.10299368,-0.020011857,0.92100024,-0.03672779,-0.005295027047395706,0.2755762636661529,-0.00645722821354866
29,-0.15081003,-0.45241022,-0.31264904,-0.22801998,-0.099653676,-0.06427097,-0.08135949,0.3140098,-0.101922795,0.08217144,0.24756627,0.07265715,-0.10543637,-0.13848883,0.045287787999999995,-0.16834739,-0.55071306,-0.09880153,-0.17310794,0.49687365,-0.027472603999999998,-0.039608195,0.4939817,-0.24046935,-0.007960641999999999,0.73069245,-0.08146879,0.17049417,0.6887689,0.16698217,0.23035708,0.40681264,0.19261605,-0.01714951,0.35968128,0.18454537,0.065060176,0.7840469,0.062326893,-0.021138694,1.0011274,0.080225,-0.099059105,0.8688488000000001,0.10944066,-0.07507382,0.9219103999999999,0.13428575,-0.08629183,0.91526896,0.06844254,0.026445586,0.94130003,0.15740217,-0.00025931187,0.9295843,0.009707645,0.00040597468614578247,0.28078803420066833,-0.014632821083068848
30,-0.17971800000000002,-0.43921015,-0.39224955,-0.20365614,-0.08772993,-0.13414639,-0.067567624,0.32086572,-0.11335727599999999,0.06385254,0.25546214,0.08964281,-0.12951006,-0.12078264,0.025599804,-0.17620453,-0.5225776,-0.13720973,-0.17570248,0.50957704,-0.094344474,-0.024850406000000002,0.5438202,-0.29201064,-0.0004887609,0.7610619000000001,-0.108257756,0.13206389999999998,0.7261969,0.17340629999999999,0.11415655,0.45063794,0.24994038,-0.12896985,0.47567385,0.19366054,0.05284022,0.8166356,0.043357852999999995,-0.009808474000000001,1.0463731,0.050620824,-0.104053825,0.9242818000000002,0.08904065,-0.071214624,0.97447354,0.11046789999999998,-0.088368714,0.96793675,0.045426264,0.03412479,0.98178715,0.12615213,-0.003065642,0.96937823,-0.021545216000000002,-0.001857541501522064,0.2881639301776886,-0.011857233941555023
